source,step,camera,metric,value
eval_obs_20260828_224708,48,camera1,state_matched_cosine,0.30693840980529785
eval_obs_20260828_224708,72,camera1,state_matched_cosine,0.3545793294906616
eval_obs_20260828_224708,96,camera1,state_matched_cosine,0.344785213470459
eval_obs_20260828_224708,120,camera1,state_matched_cosine,0.18081778287887573
eval_obs_20260828_224708,144,camera1,state_matched_cosine,0.17572659254074097
eval_obs_20260828_224708,168,camera1,state_matched_cosine,0.20301532745361328
eval_obs_20260828_224708,192,camera1,state_matched_cosine,0.22534137964248657
eval_obs_20260828_224708,216,camera1,state_matched_cosine,0.28633689880371094
eval_obs_20260828_224708,240,camera1,state_matched_cosine,0.2833327054977417
eval_obs_20260828_224708,264,camera1,state_matched_cosine,0.3109310269355774
eval_obs_20260828_224708,288,camera1,state_matched_cosine,0.27239370346069336
eval_obs_20260828_224708,312,camera1,state_matched_cosine,0.2757164239883423
eval_obs_20260828_224901,0,camera1,state_matched_cosine,0.2309049367904663
eval_obs_20260828_224901,24,camera1,state_matched_cosine,0.20696032047271729
eval_obs_20260828_224901,48,camera1,state_matched_cosine,0.27742063999176025
eval_obs_20260828_224901,72,camera1,state_matched_cosine,0.3189588189125061
eval_obs_20260828_224901,96,camera1,state_matched_cosine,0.3851723074913025
eval_obs_20260828_224901,120,camera1,state_matched_cosine,0.22036021947860718
eval_obs_20260828_224901,144,camera1,state_matched_cosine,0.28044432401657104
eval_obs_20260828_224901,168,camera1,state_matched_cosine,0.2445664405822754
eval_obs_20260828_224901,192,camera1,state_matched_cosine,0.23444795608520508
eval_obs_20260828_224901,216,camera1,state_matched_cosine,0.307991087436676
eval_obs_20260828_224901,240,camera1,state_matched_cosine,0.33813703060150146
eval_obs_20260828_224901,264,camera1,state_matched_cosine,0.30610430240631104
eval_obs_20260828_224901,288,camera1,state_matched_cosine,0.2612917423248291
eval_obs_20260828_224901,312,camera1,state_matched_cosine,0.29954659938812256
eval_obs_20260828_224901,336,camera1,state_matched_cosine,0.27819597721099854
eval_obs_20260828_224504,0,joint,state_matched_cosine,0.3439231514930725
eval_obs_20260828_224504,24,joint,state_matched_cosine,0.31329452991485596
eval_obs_20260828_224504,48,joint,state_matched_cosine,0.3398580551147461
eval_obs_20260828_224504,72,joint,state_matched_cosine,0.3771744966506958
eval_obs_20260828_224504,96,joint,state_matched_cosine,0.38570302724838257
eval_obs_20260828_224504,120,joint,state_matched_cosine,0.28734421730041504
eval_obs_20260828_224504,144,joint,state_matched_cosine,0.3091086149215698
eval_obs_20260828_224504,168,joint,state_matched_cosine,0.33252209424972534
eval_obs_20260828_224504,192,joint,state_matched_cosine,0.3419787287712097
eval_obs_20260828_224504,216,joint,state_matched_cosine,0.3333028554916382
eval_obs_20260828_224504,240,joint,state_matched_cosine,0.32413220405578613
eval_obs_20260828_224504,264,joint,state_matched_cosine,0.31306493282318115
eval_obs_20260828_224504,288,joint,state_matched_cosine,0.3747682571411133
eval_obs_20260828_224504,312,joint,state_matched_cosine,0.35231947898864746
eval_obs_20260828_224504,336,joint,state_matched_cosine,0.3318279981613159
eval_obs_20260828_224504,360,joint,state_matched_cosine,0.37483131885528564
eval_obs_20260828_224504,384,joint,state_matched_cosine,0.3518270254135132
eval_obs_20260828_224504,408,joint,state_matched_cosine,0.37306785583496094
eval_obs_20260828_224504,432,joint,state_matched_cosine,0.35757875442504883
eval_obs_20260828_224504,456,joint,state_matched_cosine,0.38351285457611084
eval_obs_20260828_224504,480,joint,state_matched_cosine,0.37424302101135254
eval_obs_20260828_224504,504,joint,state_matched_cosine,0.3915371298789978
eval_obs_20260828_224708,0,joint,state_matched_cosine,0.3007877469062805
eval_obs_20260828_224708,24,joint,state_matched_cosine,0.3185737133026123
eval_obs_20260828_224708,48,joint,state_matched_cosine,0.3239131569862366
eval_obs_20260828_224708,72,joint,state_matched_cosine,0.33194857835769653
eval_obs_20260828_224708,96,joint,state_matched_cosine,0.33809882402420044
eval_obs_20260828_224708,120,joint,state_matched_cosine,0.2516646385192871
eval_obs_20260828_224708,144,joint,state_matched_cosine,0.2568105459213257
eval_obs_20260828_224708,168,joint,state_matched_cosine,0.2652381658554077
eval_obs_20260828_224708,192,joint,state_matched_cosine,0.2788897156715393
eval_obs_20260828_224708,216,joint,state_matched_cosine,0.3039267659187317
eval_obs_20260828_224708,240,joint,state_matched_cosine,0.2970123291015625
eval_obs_20260828_224708,264,joint,state_matched_cosine,0.3160206079483032
eval_obs_20260828_224708,288,joint,state_matched_cosine,0.29875481128692627
eval_obs_20260828_224708,312,joint,state_matched_cosine,0.3020256757736206
eval_obs_20260828_224901,0,joint,state_matched_cosine,0.26510089635849
eval_obs_20260828_224901,24,joint,state_matched_cosine,0.26274073123931885
eval_obs_20260828_224901,48,joint,state_matched_cosine,0.2917149066925049
eval_obs_20260828_224901,72,joint,state_matched_cosine,0.3205603361129761
eval_obs_20260828_224901,96,joint,state_matched_cosine,0.344751238822937
eval_obs_20260828_224901,120,joint,state_matched_cosine,0.27976083755493164
eval_obs_20260828_224901,144,joint,state_matched_cosine,0.3058784008026123
eval_obs_20260828_224901,168,joint,state_matched_cosine,0.28823935985565186
eval_obs_20260828_224901,192,joint,state_matched_cosine,0.2743539810180664
eval_obs_20260828_224901,216,joint,state_matched_cosine,0.30571889877319336
eval_obs_20260828_224901,240,joint,state_matched_cosine,0.32783740758895874
eval_obs_20260828_224901,264,joint,state_matched_cosine,0.31061697006225586
eval_obs_20260828_224901,288,joint,state_matched_cosine,0.29612863063812256
eval_obs_20260828_224901,312,joint,state_matched_cosine,0.30676335096359253
eval_obs_20260828_224901,336,joint,state_matched_cosine,0.3034393787384033
eval_obs_20260828_224504,0,0,luma_mean_observed,0.05277403071522713
eval_obs_20260828_224504,0,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,24,0,luma_mean_observed,0.05253036320209503
eval_obs_20260828_224504,24,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,48,0,luma_mean_observed,0.052437733858823776
eval_obs_20260828_224504,48,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,72,0,luma_mean_observed,0.05249421298503876
eval_obs_20260828_224504,72,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,96,0,luma_mean_observed,0.05217817798256874
eval_obs_20260828_224504,96,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,120,0,luma_mean_observed,0.051230330020189285
eval_obs_20260828_224504,120,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,144,0,luma_mean_observed,0.05026932805776596
eval_obs_20260828_224504,144,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,168,0,luma_mean_observed,0.05025811120867729
