episode,frame,mode,hand,valid_steps,next8_endpoint_error_mm,next8_pred_path_mm,next8_gt_path_mm
4,0,RGB,left,32,0.3926193416118622,0.27907076478004456,0.3915656805038452
4,0,RGB,right,32,1.115842580795288,0.73921799659729,0.5907493233680725
4,0,BGR,left,32,3.647007465362549,3.795666217803955,0.3915656805038452
4,0,BGR,right,32,0.4113653600215912,0.6140738129615784,0.5907493233680725
4,1,RGB,left,32,0.3343523144721985,0.3660601079463959,0.41786399483680725
4,1,RGB,right,32,0.7905893325805664,0.4721590578556061,0.5739318132400513
4,1,BGR,left,32,1.2128551006317139,1.013891577720642,0.41786399483680725
4,1,BGR,right,32,0.5352953672409058,0.2100268006324768,0.5739318132400513
4,2,RGB,left,32,0.623383641242981,0.6881399154663086,0.48041069507598877
4,2,RGB,right,32,1.1289552450180054,0.9452627897262573,0.5783483982086182
4,2,BGR,left,32,3.4428510665893555,3.6896228790283203,0.48041069507598877
4,2,BGR,right,32,0.706203281879425,0.7904513478279114,0.5783483982086182
4,3,RGB,left,32,0.48893439769744873,0.30991095304489136,0.5994733572006226
4,3,RGB,right,32,1.3720908164978027,1.3097493648529053,0.614323616027832
4,3,BGR,left,32,3.071648359298706,3.204881191253662,0.5994733572006226
4,3,BGR,right,32,0.6058909893035889,0.46722176671028137,0.614323616027832
4,4,RGB,left,32,0.6604990363121033,0.19175131618976593,0.6985534429550171
4,4,RGB,right,32,0.5641487240791321,0.6555622816085815,0.6862629652023315
4,4,BGR,left,32,1.10990309715271,0.7379182577133179,0.6985534429550171
4,4,BGR,right,32,0.6679834723472595,0.5420601963996887,0.6862629652023315
4,5,RGB,left,32,0.4851889908313751,0.39587441086769104,0.7458107471466064
4,5,RGB,right,32,0.6217107176780701,0.8798510432243347,0.7982496023178101
4,5,BGR,left,32,1.3093359470367432,0.9230936169624329,0.7458107471466064
4,5,BGR,right,32,0.8266453742980957,0.2913559675216675,0.7982496023178101
4,6,RGB,left,32,0.5729252099990845,0.46629950404167175,0.7653844952583313
4,6,RGB,right,32,0.8217582106590271,0.2751298248767853,0.9450377821922302
4,6,BGR,left,32,0.6946539282798767,0.6857737898826599,0.7653844952583313
4,6,BGR,right,32,0.915347695350647,0.5402579307556152,0.9450377821922302
4,7,RGB,left,32,0.5596776008605957,0.3765318989753723,0.7864422798156738
4,7,RGB,right,32,0.46859806776046753,1.0609548091888428,1.1155388355255127
4,7,BGR,left,32,1.4644089937210083,1.0149905681610107,0.7864422798156738
4,7,BGR,right,32,0.8475837111473083,0.32130029797554016,1.1155388355255127
4,8,RGB,left,32,2.8464503288269043,2.6206071376800537,0.8230012655258179
4,8,RGB,right,32,1.3600188493728638,0.4538997411727905,1.294166922569275
4,8,BGR,left,32,5.7875142097473145,6.099674224853516,0.8230012655258179
4,8,BGR,right,32,1.9230281114578247,0.8243974447250366,1.294166922569275
4,9,RGB,left,32,0.44152581691741943,0.6485702395439148,0.8563908338546753
4,9,RGB,right,32,0.6245124936103821,0.8803135752677917,1.428999662399292
4,9,BGR,left,32,1.0933586359024048,1.1617013216018677,0.8563908338546753
4,9,BGR,right,32,1.8241842985153198,0.5066037774085999,1.428999662399292
4,10,RGB,left,32,0.6711914539337158,0.4105185866355896,0.8260630369186401
4,10,RGB,right,32,1.2691450119018555,0.3167587220668793,1.4762219190597534
4,10,BGR,left,32,0.9514513611793518,0.7422898411750793,0.8260630369186401
4,10,BGR,right,32,1.2421422004699707,0.6235505938529968,1.4762219190597534
4,11,RGB,left,32,0.6721394658088684,0.29492104053497314,0.7200959324836731
4,11,RGB,right,32,0.8305723071098328,0.6550816893577576,1.4913629293441772
4,11,BGR,left,32,1.6689528226852417,2.4571659564971924,0.7200959324836731
4,11,BGR,right,32,2.25121808052063,0.8841516971588135,1.4913629293441772
4,12,RGB,left,32,2.2752883434295654,2.299689292907715,0.6416103839874268
4,12,RGB,right,32,1.6283854246139526,0.5467147827148438,1.508973479270935
4,12,BGR,left,32,3.71179461479187,4.140278339385986,0.6416103839874268
4,12,BGR,right,32,2.1280972957611084,0.7459154725074768,1.508973479270935
4,13,RGB,left,32,0.23360025882720947,0.5173890590667725,0.6215972900390625
4,13,RGB,right,32,1.151714563369751,0.43948230147361755,1.458729863166809
4,13,BGR,left,32,0.4255562722682953,0.675902247428894,0.6215972900390625
4,13,BGR,right,32,1.0114363431930542,0.7293501496315002,1.458729863166809
4,14,RGB,left,32,0.35807564854621887,0.39154496788978577,0.6042842268943787
4,14,RGB,right,32,0.8355871438980103,0.608009934425354,1.321683645248413
4,14,BGR,left,32,1.005911111831665,0.7619439363479614,0.6042842268943787
4,14,BGR,right,32,1.1202569007873535,0.26554426550865173,1.321683645248413
4,15,RGB,left,32,0.25028127431869507,0.42165204882621765,0.5948500633239746
4,15,RGB,right,32,0.36006930470466614,0.7838845252990723,1.146019458770752
4,15,BGR,left,32,0.9784907102584839,0.7773796319961548,0.5948500633239746
4,15,BGR,right,32,1.204440951347351,0.26801666617393494,1.146019458770752
4,16,RGB,left,32,0.6814473271369934,0.4059322476387024,0.6475427746772766
4,16,RGB,right,32,0.3815167248249054,0.7376139760017395,0.9879903197288513
4,16,BGR,left,32,1.1903116703033447,0.8007115721702576,0.6475427746772766
4,16,BGR,right,32,0.9072117209434509,0.16818594932556152,0.9879903197288513
4,17,RGB,left,32,0.4554242491722107,0.8504095077514648,0.8098404407501221
4,17,RGB,right,32,0.4455525279045105,1.0249899625778198,0.8620756268501282
4,17,BGR,left,32,3.9662768840789795,4.807252407073975,0.8098404407501221
4,17,BGR,right,32,1.499742031097412,0.8595598340034485,0.8620756268501282
4,18,RGB,left,32,0.9540162086486816,0.3565959632396698,1.125491976737976
4,18,RGB,right,32,0.764930784702301,1.1423462629318237,0.7444185614585876
4,18,BGR,left,32,2.7648262977600098,3.7689008712768555,1.125491976737976
4,18,BGR,right,32,1.355665922164917,0.8430666923522949,0.7444185614585876
4,19,RGB,left,32,1.7189821004867554,0.2664555311203003,1.6501059532165527
4,19,RGB,right,32,0.6342528462409973,0.8687307834625244,0.6306566596031189
4,19,BGR,left,32,2.3152849674224854,1.2589707374572754,1.6501059532165527
4,19,BGR,right,32,0.6693596839904785,0.32480818033218384,0.6306566596031189
4,20,RGB,left,32,1.8096392154693604,4.125495433807373,2.3994383811950684
4,20,RGB,right,32,0.22706009447574615,0.3966328799724579,0.5524830222129822
4,20,BGR,left,32,3.7612054347991943,5.929156303405762,2.3994383811950684
4,20,BGR,right,32,1.1201238632202148,0.9889365434646606,0.5524830222129822
4,21,RGB,left,32,0.8743991851806641,3.925570249557495,3.3684608936309814
4,21,RGB,right,32,0.157840758562088,0.3764042854309082,0.5634961128234863
4,21,BGR,left,32,3.0358846187591553,5.875250816345215,3.3684608936309814
4,21,BGR,right,32,0.8086475133895874,0.7869439721107483,0.5634961128234863
4,22,RGB,left,32,1.4671950340270996,3.17795729637146,4.640786647796631
4,22,RGB,right,32,0.30014973878860474,0.3203349709510803,0.6356335282325745
4,22,BGR,left,32,1.5820379257202148,4.723290920257568,4.640786647796631
4,22,BGR,right,32,0.8732537031173706,1.0165358781814575,0.6356335282325745
4,23,RGB,left,32,2.2498791217803955,4.01295280456543,6.263422012329102
4,23,RGB,right,32,0.40709978342056274,0.36927127838134766,0.7296118140220642
4,23,BGR,left,32,1.797510027885437,6.498558044433594,6.263422012329102
4,23,BGR,right,32,0.7938685417175293,0.8969468474388123,0.7296118140220642
4,24,RGB,left,32,0.7748807668685913,7.5003886222839355,8.244426727294922
4,24,RGB,right,32,0.49825751781463623,0.4418585002422333,0.8259411454200745
4,24,BGR,left,32,2.9562036991119385,5.9554595947265625,8.244426727294922
4,24,BGR,right,32,0.7631615400314331,0.8557844161987305,0.8259411454200745
4,25,RGB,left,32,0.8048571944236755,9.938374519348145,10.418848037719727
4,25,RGB,right,32,0.6772152781486511,0.4416915774345398,0.921751081943512
4,25,BGR,left,32,5.259301662445068,5.290875434875488,10.418848037719727
4,25,BGR,right,32,1.152017593383789,1.1030809879302979,0.921751081943512
4,26,RGB,left,32,2.755016326904297,9.76572322845459,12.400800704956055
4,26,RGB,right,32,0.7289488315582275,0.38895803689956665,1.0562200546264648
4,26,BGR,left,32,6.816486835479736,5.794480800628662,12.400800704956055
4,26,BGR,right,32,1.2057887315750122,0.9849192500114441,1.0562200546264648
4,27,RGB,left,32,1.4634374380111694,12.875144004821777,14.118172645568848
4,27,RGB,right,32,1.0063689947128296,0.8528674244880676,1.2504428625106812
4,27,BGR,left,32,8.899613380432129,5.323497772216797,14.118172645568848
4,27,BGR,right,32,1.3070372343063354,0.7220509052276611,1.2504428625106812
4,28,RGB,left,32,0.9331603050231934,14.918804168701172,15.82419490814209
4,28,RGB,right,32,0.7749426960945129,0.8206517100334167,1.4789079427719116
4,28,BGR,left,32,8.970108985900879,6.840688228607178,15.82419490814209
4,28,BGR,right,32,1.537138819694519,0.6483513712882996,1.4789079427719116
4,29,RGB,left,32,2.7800278663635254,14.976325988769531,17.660118103027344
4,29,RGB,right,32,0.5293710231781006,1.2372052669525146,1.6704705953598022
4,29,BGR,left,32,11.79035758972168,5.881643295288086,17.660118103027344
4,29,BGR,right,32,1.7250089645385742,0.6567500829696655,1.6704705953598022
4,30,RGB,left,32,2.397038459777832,17.44361686706543,19.600778579711914
4,30,RGB,right,32,0.6051461696624756,1.1351722478866577,1.8226755857467651
4,30,BGR,left,32,13.276203155517578,6.284817695617676,19.600778579711914
4,30,BGR,right,32,1.8097379207611084,0.3747687339782715,1.8226755857467651
4,31,RGB,left,32,2.8762731552124023,19.257530212402344,21.530181884765625
4,31,RGB,right,32,0.6012030243873596,1.2861872911453247,1.9507184028625488
4,31,BGR,left,32,14.608186721801758,6.976100444793701,21.530181884765625
4,31,BGR,right,32,1.996132731437683,0.5579426288604736,1.9507184028625488
4,32,RGB,left,32,0.6607756614685059,23.06982421875,23.161500930786133
4,32,RGB,right,32,0.3404357135295868,1.7184734344482422,2.0416674613952637
4,32,BGR,left,32,15.66112232208252,7.837979316711426,23.161500930786133
4,32,BGR,right,32,1.8304369449615479,0.665261447429657,2.0416674613952637
4,33,RGB,left,32,2.038191318511963,22.9467830657959,24.561809539794922
