source,sequence,index,camera,red_mean,green_mean,blue_mean,luma_mean,luma_std,luma_p05,luma_p50,luma_p95,black_clip_fraction,white_clip_fraction,saturation_mean,laplacian_variance,tenengrad_mean,edge_density,fft_high_frequency_ratio,feature_knn_cosine,feature_percentile,state_knn_rms,state_percentile,matched_episode,matched_frame
reference,episode_000034,0,0,0.3847139775753021,0.33741647005081177,0.30867448449134827,0.3453967571258545,0.25604942440986633,0.011749019846320152,0.2892133593559265,0.7158353328704834,0.0264469068877551,0.0,0.35488417744636536,956.4411319028037,11268.078882334185,0.06819993622448979,0.02584417536854744,,,,,,
reference,episode_000034,0,1,0.39626505970954895,0.34710589051246643,0.3071814179420471,0.3546745777130127,0.2368461787700653,0.013720001094043255,0.3527953028678894,0.6982609629631042,0.01735889668367347,0.0,0.36842969059944153,1083.8288969113794,13634.019650829081,0.07818478954081633,0.02926354669034481,,,,,,
reference,episode_000034,1,0,0.3845701813697815,0.3374561667442322,0.3088341951370239,0.34540611505508423,0.25613152980804443,0.011218824423849583,0.28920236229896545,0.7164062261581421,0.02889827806122449,0.0,0.3551930785179138,953.9479802869251,11274.265704719388,0.06736288265306123,0.02582441456615925,,,,,,
reference,episode_000034,1,1,0.396282434463501,0.3470936119556427,0.30734363198280334,0.3546811640262604,0.2368156760931015,0.013720001094043255,0.3525749146938324,0.6978588700294495,0.017020089285714284,0.0,0.3676518499851227,1084.432665343485,13624.616948341836,0.07686941964285714,0.02926078997552395,,,,,,
reference,episode_000034,2,0,0.3846326172351837,0.33726415038108826,0.30865323543548584,0.34526899456977844,0.25605103373527527,0.011218824423849583,0.28921806812286377,0.7161027193069458,0.026646205357142856,0.0,0.357168972492218,957.9693744282879,11263.941007653062,0.06786112882653061,0.025827087461948395,,,,,,
reference,episode_000034,2,1,0.39625513553619385,0.3470025658607483,0.3072590231895447,0.35460418462753296,0.23682717978954315,0.013720001094043255,0.3527953028678894,0.6984637379646301,0.017458545918367346,0.0,0.36761021614074707,1079.431923428956,13639.05580357143,0.07808514030612244,0.029270153492689133,,,,,,
reference,episode_000034,3,0,0.3845268487930298,0.33733636140823364,0.308625191450119,0.34529614448547363,0.2560354769229889,0.011672156862914562,0.2889506220817566,0.7158353328704834,0.024932238520408163,0.0,0.35635095834732056,956.4389112568655,11263.337213010203,0.06782126913265306,0.025829074904322624,,,,,,
reference,episode_000034,3,1,0.39636361598968506,0.3470345437526703,0.30716490745544434,0.3546433448791504,0.23679381608963013,0.013720001094043255,0.35252782702445984,0.6992635130882263,0.018694196428571428,0.0,0.3681311309337616,1082.7851687554069,13614.291414221938,0.07700892857142858,0.0292364414781332,,,,,,
reference,episode_000034,4,0,0.38443124294281006,0.33722028136253357,0.3086429238319397,0.34519410133361816,0.25600406527519226,0.011445490643382072,0.28874433040618896,0.7158741354942322,0.02521125637755102,0.0,0.3559819757938385,954.3883342877967,11285.611367984693,0.06953523596938775,0.025880856439471245,,,,,,
reference,episode_000034,4,1,0.396340936422348,0.3471328616142273,0.3072293996810913,0.35471343994140625,0.23686164617538452,0.013720001094043255,0.3525905907154083,0.6998298168182373,0.019292091836734693,0.0,0.36782190203666687,1077.071914283597,13643.341757015307,0.0774673150510204,0.029272018000483513,,,,,,
reference,episode_000034,5,0,0.3844729959964752,0.33734017610549927,0.30871960520744324,0.34529420733451843,0.2560131847858429,0.011218824423849583,0.28865179419517517,0.7161027193069458,0.027463329081632654,0.0,0.35524022579193115,964.3465059114367,11291.563536352041,0.06923628826530612,0.025902744382619858,,,,,,
reference,episode_000034,5,1,0.396429181098938,0.34710437059402466,0.30733808875083923,0.35471975803375244,0.23679815232753754,0.013720001094043255,0.35252782702445984,0.6996057033538818,0.019072863520408163,0.0,0.36685827374458313,1083.5660502959272,13623.32278380102,0.07854352678571429,0.029247118160128593,,,,,,
reference,episode_000034,6,0,0.38457298278808594,0.3372766971588135,0.3086874485015869,0.34526774287223816,0.25603726506233215,0.011218824423849583,0.28853845596313477,0.7158353328704834,0.026745854591836735,0.0,0.3555520474910736,962.2166164955066,11283.936503507653,0.06961495535714286,0.025912025943398476,,,,,,
reference,episode_000034,6,1,0.39654532074928284,0.34713214635849,0.3075244128704071,0.3547777533531189,0.23682251572608948,0.013720001094043255,0.3527953028678894,0.6978588700294495,0.017737563775510203,0.0,0.3684626519680023,1080.7141768909503,13627.160076530612,0.076171875,0.029218235984444618,,,,,,
reference,episode_000034,7,0,0.38470038771629333,0.33733728528022766,0.3087005913257599,0.3453390896320343,0.2560439109802246,0.011218824423849583,0.2886565029621124,0.7161027193069458,0.027144451530612245,0.0,0.3546161353588104,956.325586980703,11263.998923788266,0.06818000637755102,0.02584771439433098,,,,,,
reference,episode_000034,7,1,0.3965851068496704,0.347155898809433,0.3075069189071655,0.3548019230365753,0.23684583604335785,0.013720001094043255,0.353069007396698,0.6998298168182373,0.017857142857142856,0.0,0.36792120337486267,1088.6923637580792,13614.513950892857,0.07661033163265306,0.0292026586830616,,,,,,
reference,episode_000034,8,0,0.38464707136154175,0.3374345302581787,0.3086243271827698,0.3453918397426605,0.2560828626155853,0.011218824423849583,0.2889506220817566,0.7161027193069458,0.027383609693877552,0.0,0.35600724816322327,959.9965112659148,11276.990513392857,0.0677016900510204,0.02586759254336357,,,,,,
reference,episode_000034,8,1,0.39656856656074524,0.3471868336200714,0.307448148727417,0.3548162877559662,0.23677998781204224,0.013720001094043255,0.3527953028678894,0.6998298168182373,0.018355389030612245,0.0,0.36748024821281433,1081.6847658487022,13615.273078762755,0.07712850765306123,0.029189640656113625,,,,,,
reference,episode_000034,9,0,0.38452184200286865,0.33748486638069153,0.3088037669658661,0.34541410207748413,0.2560639977455139,0.011749019846320152,0.28865179419517517,0.7161027193069458,0.0274234693877551,0.0,0.3543311059474945,965.1485186365932,11291.330317283164,0.0684390943877551,0.025912541896104813,,,,,,
reference,episode_000034,9,1,0.3963955044746399,0.3471877872943878,0.30736303329467773,0.3547740578651428,0.23679140210151672,0.013720001094043255,0.3527953028678894,0.6998298168182373,0.018036511479591837,0.0,0.3683456480503082,1081.0066597047621,13607.35279815051,0.07946029974489796,0.029180338606238365,,,,,,
reference,episode_000034,10,0,0.38465601205825806,0.3373946249485016,0.30878984928131104,0.3453771770000458,0.2560499310493469,0.011218824423849583,0.2894650995731354,0.7161027193069458,0.0274234693877551,0.0,0.35594305396080017,955.5820803846831,11275.181680484693,0.06760204081632654,0.025860775262117386,,,,,,
reference,episode_000034,10,1,0.39650166034698486,0.3471522033214569,0.3073417842388153,0.3547695577144623,0.23674480617046356,0.013720001094043255,0.35252782702445984,0.6998298168182373,0.01638233418367347,1.992984693877551e-05,0.3687855899333954,1080.7263474275746,13584.750757334185,0.07635124362244898,0.0291404128074646,,,,,,
reference,episode_000034,11,0,0.384787917137146,0.3373500406742096,0.3086985945701599,0.3453666865825653,0.25605371594429016,0.011749019846320152,0.28879451751708984,0.7161027193069458,0.0284000318877551,0.0,0.35523876547813416,957.7799752361324,11279.72767857143,0.06696428571428571,0.025871213525533676,,,,,,
reference,episode_000034,11,1,0.3964437246322632,0.3472761809825897,0.30752503871917725,0.3548591732978821,0.2367224097251892,0.013720001094043255,0.3525749146938324,0.6998298168182373,0.01815609056122449,0.0,0.3684536814689636,1081.3194554176791,13552.901068239797,0.0771484375,0.029069356620311737,,,,,,
reference,episode_000034,12,0,0.38465967774391174,0.3373965322971344,0.3089100420475006,0.3453879952430725,0.2560472786426544,0.011218824423849583,0.28895294666290283,0.7160870432853699,0.027224170918367346,0.0,0.35505998134613037,957.1687579220505,11276.086734693878,0.0680404974489796,0.02585114724934101,,,,,,
reference,episode_000034,12,1,0.3967146575450897,0.34735575318336487,0.307643324136734,0.3549822270870209,0.23676595091819763,0.013720001094043255,0.35309410095214844,0.6998298168182373,0.0174984056122449,0.0,0.3674379587173462,1069.7383590310576,13519.189453125,0.07623166454081633,0.028933804482221603,,,,,,
reference,episode_000034,13,0,0.3846363425254822,0.3374195992946625,0.3088838756084442,0.3453976511955261,0.2560960054397583,0.011749019846320152,0.2889576554298401,0.7158353328704834,0.026745854591836735,0.0,0.3539770543575287,952.0609576484651,11269.430604272959,0.06861846301020408,0.02582334540784359,,,,,,
reference,episode_000034,13,1,0.3967527747154236,0.3475751578807831,0.30770793557167053,0.355151891708374,0.23679107427597046,0.013720001094043255,0.3530988097190857,0.6998298168182373,0.01805644132653061,0.0,0.3667457699775696,1080.0746658143278,13504.765066964286,0.07728794642857142,0.028934739530086517,,,,,,
reference,episode_000034,14,0,0.384830117225647,0.337569922208786,0.30893513560295105,0.34554994106292725,0.25608178973197937,0.011218824423849583,0.28920236229896545,0.7161027193069458,0.027463329081632654,0.0,0.35550397634506226,952.2740060535385,11253.908561862245,0.06810028698979592,0.02578323893249035,,,,,,
reference,episode_000034,14,1,0.39709383249282837,0.34768152236938477,0.3079553246498108,0.3553183376789093,0.2368718534708023,0.013720001094043255,0.3530988097190857,0.7001333832740784,0.0185546875,0.0,0.3667987883090973,1083.6383819881949,13534.232860331633,0.07567362882653061,0.028991973027586937,,,,,,
reference,episode_000034,15,0,0.38484928011894226,0.33770471811294556,0.309009313583374,0.3456558287143707,0.2561790347099304,0.011218824423849583,0.28921806812286377,0.7161027193069458,0.026785714285714284,0.0,0.35435986518859863,949.1372831011751,11273.409239477041,0.06821986607142858,0.025798972696065903,,,,,,
reference,episode_000034,15,1,0.3971697688102722,0.3477986752986908,0.3079985976219177,0.35542142391204834,0.23687663674354553,0.013720001094043255,0.3530988097190857,0.7009317874908447,0.0176578443877551,0.0,0.3670971393585205,1076.9660626673194,13522.152981505102,0.07653061224489796,0.028946397826075554,,,,,,
reference,episode_000034,16,0,0.38503244519233704,0.33772993087768555,0.30911239981651306,0.3457202911376953,0.25619935989379883,0.011218824423849583,0.28921806812286377,0.7161027193069458,0.02662627551020408,0.0,0.3557908236980438,953.5168396494182,11273.02734375,0.06788105867346939,0.025799034163355827,,,,,,
reference,episode_000034,16,1,0.3973384499549866,0.3479350805282593,0.30798155069351196,0.3555535674095154,0.23695948719978333,0.013720001094043255,0.3530988097190857,0.7004417181015015,0.017578125,0.0,0.3671799600124359,1069.2324195168308,13512.484454719388,0.07770647321428571,0.028874797746539116,,,,,,
reference,episode_000034,17,0,0.3849993348121643,0.33788156509399414,0.3092959225177765,0.345834881067276,0.2562207877635956,0.011218824423849583,0.2892792224884033,0.7161027193069458,0.02672592474489796,0.0,0.35353076457977295,951.9003295898438,11251.614556760203,0.0682796556122449,0.025761350989341736,,,,,,
reference,episode_000034,17,1,0.39760398864746094,0.3481425940990448,0.3082442879676819,0.355777382850647,0.23701591789722443,0.013720001094043255,0.35333096981048584,0.7003490328788757,0.01700015943877551,0.0,0.3671938478946686,1070.63411650326,13500.966637436224,0.07744738520408163,0.028829867020249367,,,,,,
reference,episode_000034,18,0,0.3851848542690277,0.3379107415676117,0.3091906011104584,0.34588760137557983,0.2561790943145752,0.011218824423849583,0.28919294476509094,0.7161027193069458,0.026566485969387755,0.0,0.3550168573856354,955.874521982367,11246.459382971938,0.06845902423469388,0.025733785703778267,,,,,,
reference,episode_000034,18,1,0.39781734347343445,0.3483893871307373,0.3085916340351105,0.3560243844985962,0.23713107407093048,0.013720001094043255,0.3540513813495636,0.7009670734405518,0.01805644132653061,0.0,0.36813685297966003,1083.377573791021,13514.855827487245,0.07850366709183673,0.02880563586950302,,,,,,
reference,episode_000034,19,0,0.3852652609348297,0.3379557430744171,0.3093997538089752,0.34595197439193726,0.256219744682312,0.011729803867638111,0.2898690104484558,0.7161027193069458,0.02668606505102041,0.0,0.354080468416214,953.8862484396125,11267.360530931122,0.0684390943877551,0.02575707994401455,,,,,,
