run,step,kind,camera,metric,value
eval_obs_20260828_215237,0,state_matched_cosine,joint,distance,0.3843948245048523
eval_obs_20260828_215237,24,state_matched_cosine,joint,distance,0.38360893726348877
eval_obs_20260828_215237,48,state_matched_cosine,joint,distance,0.467756986618042
eval_obs_20260828_215237,72,state_matched_cosine,joint,distance,0.4884909391403198
eval_obs_20260828_215237,96,state_matched_cosine,joint,distance,0.4314553737640381
eval_obs_20260828_215237,120,state_matched_cosine,joint,distance,0.3426361083984375
eval_obs_20260828_215237,144,state_matched_cosine,joint,distance,0.34489476680755615
eval_obs_20260828_215237,168,state_matched_cosine,joint,distance,0.3601366877555847
eval_obs_20260828_215434,0,state_matched_cosine,camera0,distance,0.430290162563324
eval_obs_20260828_215434,32,state_matched_cosine,camera0,distance,0.4524592161178589
eval_obs_20260828_215434,64,state_matched_cosine,camera0,distance,0.4442410469055176
eval_obs_20260828_215434,96,state_matched_cosine,camera0,distance,0.45389336347579956
eval_obs_20260828_215434,128,state_matched_cosine,camera0,distance,0.41751980781555176
eval_obs_20260828_215434,160,state_matched_cosine,camera0,distance,0.40849733352661133
eval_obs_20260828_215434,0,state_matched_cosine,camera1,distance,0.15239417552947998
eval_obs_20260828_215434,32,state_matched_cosine,camera1,distance,0.3311377763748169
eval_obs_20260828_215434,64,state_matched_cosine,camera1,distance,0.3763962984085083
eval_obs_20260828_215434,96,state_matched_cosine,camera1,distance,0.28177887201309204
eval_obs_20260828_215434,128,state_matched_cosine,camera1,distance,0.3025602102279663
eval_obs_20260828_215434,160,state_matched_cosine,camera1,distance,0.2843649387359619
eval_obs_20260828_215434,0,state_matched_cosine,joint,distance,0.29134219884872437
eval_obs_20260828_215434,32,state_matched_cosine,joint,distance,0.3917984962463379
eval_obs_20260828_215434,64,state_matched_cosine,joint,distance,0.41031867265701294
eval_obs_20260828_215434,96,state_matched_cosine,joint,distance,0.3678361177444458
eval_obs_20260828_215434,128,state_matched_cosine,joint,distance,0.36003994941711426
eval_obs_20260828_215434,160,state_matched_cosine,joint,distance,0.3464311361312866
eval_obs_20260828_172311,0,observed,0,luma_mean,0.4359274208545685
eval_obs_20260828_172311,0,matched_reference,0,luma_mean,0.3456481099128723
eval_obs_20260828_172311,24,observed,0,luma_mean,0.4396679401397705
eval_obs_20260828_172311,24,matched_reference,0,luma_mean,0.3428175449371338
eval_obs_20260828_172311,48,observed,0,luma_mean,0.44126829504966736
eval_obs_20260828_172311,48,matched_reference,0,luma_mean,0.3396877646446228
eval_obs_20260828_172311,72,observed,0,luma_mean,0.44101080298423767
eval_obs_20260828_172311,72,matched_reference,0,luma_mean,0.33856746554374695
eval_obs_20260828_172311,96,observed,0,luma_mean,0.4398150146007538
eval_obs_20260828_172311,96,matched_reference,0,luma_mean,0.33838021755218506
eval_obs_20260828_172311,120,observed,0,luma_mean,0.4394410252571106
eval_obs_20260828_172311,120,matched_reference,0,luma_mean,0.3378560543060303
eval_obs_20260828_172311,144,observed,0,luma_mean,0.43825122714042664
eval_obs_20260828_172311,144,matched_reference,0,luma_mean,0.3379610776901245
eval_obs_20260828_172311,168,observed,0,luma_mean,0.43811991810798645
eval_obs_20260828_172311,168,matched_reference,0,luma_mean,0.3379356861114502
eval_obs_20260828_172311,0,observed,0,luma_std,0.28463882207870483
eval_obs_20260828_172311,0,matched_reference,0,luma_std,0.25597402453422546
eval_obs_20260828_172311,24,observed,0,luma_std,0.28127428889274597
eval_obs_20260828_172311,24,matched_reference,0,luma_std,0.25586962699890137
eval_obs_20260828_172311,48,observed,0,luma_std,0.28149664402008057
eval_obs_20260828_172311,48,matched_reference,0,luma_std,0.25530490279197693
eval_obs_20260828_172311,72,observed,0,luma_std,0.2814596891403198
eval_obs_20260828_172311,72,matched_reference,0,luma_std,0.2550303339958191
eval_obs_20260828_172311,96,observed,0,luma_std,0.2809120714664459
eval_obs_20260828_172311,96,matched_reference,0,luma_std,0.25502800941467285
eval_obs_20260828_172311,120,observed,0,luma_std,0.27988967299461365
eval_obs_20260828_172311,120,matched_reference,0,luma_std,0.25710099935531616
eval_obs_20260828_172311,144,observed,0,luma_std,0.27891412377357483
